"ImageNumber","FileName_colorimage","AreaShape_Area","AreaShape_HuMoment_2","AreaShape_InertiaTensor_0_0","AreaShape_Solidity","Intensity_IntegratedIntensity_DNA","Intensity_IntegratedIntensity_H2AX","Intensity_MADIntensity_DNA","Intensity_MassDisplacement_DNA","Intensity_MassDisplacement_H2AX","Intensity_MassDisplacement_Ki67","Intensity_MaxIntensity_H2AX","Intensity_MinIntensityEdge_DNA","Intensity_MinIntensityEdge_H2AX","Intensity_MinIntensity_Ki67","Intensity_StdIntensityEdge_DNA","Intensity_StdIntensityEdge_Ki67","Intensity_StdIntensity_Ki67"
78,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2242.png",802,2.29e-05,47.06458915,0.972121212,133.4901992,47.23137414,0.039215684,0.480672146,0.361022179,0.678782766,0.113725491,0,0,0,0,0,0.039690561
79,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2244.png",588,2.61e-05,54.91478088,0.973509934,116.4039257,27.68627569,0.047058821,0.175412267,0.096345917,1.015203423,0.086274512,0,0,0,0,0,0.09754318
80,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2271.png",1070,0.000130763,97.01815006,0.974499089,155.8274544,52.90588401,0.035294116,0.349423059,0.921933474,0.546911345,0.113725491,0,0,0,0,0,0.140762742
81,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_228.png",847,4.16e-06,101.2728834,0.963594994,148.9882401,34.76078531,0.050980389,0.1111287,0.61050412,0.637253646,0.090196081,0,0,0,0,0,0.071726934
82,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2281.png",891,5.64e-06,58.86860625,0.96742671,143.9803965,30.62745182,0.058823526,0.383485993,0.209582645,1.060590865,0.105882354,0,0,0,0,0,0.103951313
83,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2286.png",1094,3.18e-05,65.39401639,0.968141593,202.823536,37.08235397,0.066666663,0.333465919,0.263216028,0.266656571,0.070588239,0,0,0,0,0,0.05089053
84,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2290.png",690,1.7e-05,49.12925016,0.957004161,106.7176502,24.4470594,0.066666663,0.121621135,0.195685927,0.881657484,0.070588239,0,0,0,0,0,0.157912659
85,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2301.png",619,0.00017903,44.27785187,0.958204334,78.86274701,15.75686342,0.043137252,0.318482637,0.214371801,0.354142591,0.050980393,0,0,0,0,0,0.032661788
86,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2303.png",756,0.000106042,42.32986723,0.948557089,126.7058858,22.9019615,0.054901958,0.215546486,0.334489526,1.209257042,0.054901961,0,0,0,0,0,0.126676019
87,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2305.png",663,9.01e-05,81.66465333,0.959479016,91.32157071,16.67058898,0.058823526,0.080511793,0.073017595,0.773799522,0.043137256,0,0,0,0,0,0.031734754
88,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2307.png",1036,0.000105013,122.1244838,0.961038961,188.5137313,29.15686398,0.058823526,0.135056767,0.238763392,0.670519332,0.050980393,0,0,0,0,0,0.044081811
89,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2316.png",976,6.31e-05,117.9440675,0.977955912,137.6000029,24.6156874,0.043137252,0.101884862,0.127345895,0.405990181,0.043137256,0,0,0,0,0,0.044115923
90,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_2319.png",612,2.16e-05,46.90089282,0.960753532,67.60000209,14.53725556,0.031372547,0.50020561,0.102577447,1.176549936,0.043137256,0,0,0,0,0,0.040233866
91,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0003_W1 - UV_FilterNuclei_232.png",830,3.02e-06,69.62162288,0.971896956,131.8941205,27.71764778,0.047058821,0.268001284,0.236639981,1.019265137,0.086274512,0,0,0,0,0,0.104385872
